Title,Authors,Published Date,Topics,URL,Archive ID,Format
"Big Data Fundamentals: Concepts, Drivers & Techniques","Thomas Erl, Wajid Khattak, Paul Buhler",2016-01-05,d5da15e3-35bc-4914-b188-1d2689593637,/library/view/big-data-fundamentals/9780134291185/ch08.xhtml,9780134291185,book
"Designing Data-Intensive Applications, 2nd Edition","Martin Kleppmann, Chris Riccomini",2025-12-25,0ec314b3-3c55-4522-a7d4-2fd9254ce438,/library/view/designing-data-intensive-applications/9781098119058/ch01.html,9781098119058,book
Fundamentals of Data Engineering,"Joe Reis, Matt Housley",2022-06-22,0ec314b3-3c55-4522-a7d4-2fd9254ce438,/library/view/fundamentals-of-data/9781098108298/ch09.html,9781098108298,book
"Python for Data Analysis, 3rd Edition",Wes McKinney,2022-08-15,149149db-ab2f-4ecb-931e-a56d1e95e688,/library/view/python-for-data/9781098104023/ch01.html,9781098104023,book
Financial Data Engineering,Tamer Khraisha,2024-10-09,0ec314b3-3c55-4522-a7d4-2fd9254ce438,/library/view/financial-data-engineering/9781098159986/ch01.html,9781098159986,book
Essential Math for Data Science,Thomas Nield,2022-05-26,149149db-ab2f-4ecb-931e-a56d1e95e688,/library/view/essential-math-for/9781098102920/ch08.html,9781098102920,book
Data Engineering Best Practices,"Richard J. Schiller, David Larochelle",2024-10-11,0ec314b3-3c55-4522-a7d4-2fd9254ce438,/library/view/data-engineering-best/9781803244983/B18021_14.xhtml,9781803244983,book
Data Engineering with AWS - Second Edition,Gareth Eagar,2023-10-31,0ec314b3-3c55-4522-a7d4-2fd9254ce438,/library/view/data-engineering-with/9781804614426/Text/Chapter_12.xhtml,9781804614426,book
Cracking the Data Science Interview,"Leondra R. Gonzalez, Aaren Stubberfield",2024-02-29,149149db-ab2f-4ecb-931e-a56d1e95e688,/library/view/cracking-the-data/9781805120506/B21120_12.xhtml,9781805120506,book
Data Governance: The Definitive Guide,"Evren Eryurek, Uri Gilad, Valliappa Lakshmanan, Anita Kibunguchy-Grant, Jessi Ashdown",2021-03-08,ebdcad17-b520-434c-b4b7-5937f594ebaf,/library/view/data-governance-the/9781492063483/ch01.html,9781492063483,book
